id,indic_en,unit,geo,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
CFBE_AT,part des énergies renouvelables dans la consommation finale brute d'énergie,%,AT,32.6,32.1,30.9,30.8,30.3,28.4,27.5,25.5,23.9,22.7 
CFBE_BE,part des énergies renouvelables dans la consommation finale brute d'énergie,%,BE,7.9,7.4,6.1,5.7,5.2,3.8,3.4,2.7,2.3,1.9 
CFBE_BG,part des énergies renouvelables dans la consommation finale brute d'énergie,%,BG,19.0,16.0,14.3,14.1,12.2,10.5,9.2,9.6,9.4,9.5 
CFBE_CY,part des énergies renouvelables dans la consommation finale brute d'énergie,%,CY,8.1,6.8,6.0,6.0,5.6,5.1,4.0,3.3,3.1,3.1 
CFBE_CZ,part des énergies renouvelables dans la consommation finale brute d'énergie,%,CZ,12.4,11.4,9.5,9.5,8.5,7.6,7.4,6.4,6.0,5.9 
CFBE_DE,part des énergies renouvelables dans la consommation finale brute d'énergie,%,DE,12.4,12.1,11.4,10.4,9.9,8.5,9.0,7.7,6.7,5.8 
CFBE_DK,part des énergies renouvelables dans la consommation finale brute d'énergie,%,DK,27.2,25.6,23.4,22.0,20.0,18.6,17.8,15.9,15.6,14.5 
CFBE_EE,part des énergies renouvelables dans la consommation finale brute d'énergie,%,EE,25.6,25.8,25.5,24.6,23.0,18.9,17.1,16.1,17.5,18.4 
CFBE_EL,part des énergies renouvelables dans la consommation finale brute d'énergie,%,EL,15.0,13.4,10.9,9.8,8.5,8.0,8.2,7.2,7.0,6.9 
CFBE_ES,part des énergies renouvelables dans la consommation finale brute d'énergie,%,ES,15.4,14.3,13.2,13.8,13.0,10.8,9.7,9.2,8.4,8.3 
CFBE_EU28,part des énergies renouvelables dans la consommation finale brute d'énergie,%,EU28,15.0,14.3,12.9,12.5,11.9,10.5,10.0,9.2,8.7,8.3 
CFBE_FI,part des énergies renouvelables dans la consommation finale brute d'énergie,%,FI,36.8,34.5,32.9,32.5,31.5,31.4,29.6,30.0,28.8,29.2 
CFBE_FR,part des énergies renouvelables dans la consommation finale brute d'énergie,%,FR,14.2,13.6,11.2,12.8,12.3,11.2,10.3,9.5,9.6,9.4 
CFBE_HR,part des énergies renouvelables dans la consommation finale brute d'énergie,%,HR,18.0,16.8,15.4,14.3,13.1,12.1,12.1,12.8,12.8,13.2 
CFBE_HU,part des énergies renouvelables dans la consommation finale brute d'énergie,%,HU,9.8,9.5,9.1,8.6,8.0,6.5,5.9,5.1,4.5,4.4 
CFBE_IE,part des énergies renouvelables dans la consommation finale brute d'énergie,%,IE,7.8,7.3,6.6,5.6,5.1,4.1,3.6,3.1,2.9,2.4 
CFBE_IT,part des énergies renouvelables dans la consommation finale brute d'énergie,%,IT,16.7,15.4,12.1,10.5,9.1,7.3,6.4,6.4,5.8,5.6 
CFBE_LT,part des énergies renouvelables dans la consommation finale brute d'énergie,%,LT,23.0,21.7,20.2,19.8,20.0,18.0,16.7,17.0,17.0,17.2 
CFBE_LU,part des énergies renouvelables dans la consommation finale brute d'énergie,%,LU,3.6 e,3.1,2.9,2.9,2.9,2.8,2.7,1.5,1.4,0.9 
CFBE_LV,part des énergies renouvelables dans la consommation finale brute d'énergie,%,LV,37.1,35.8,33.5,30.4,34.3,29.8,29.6,31.1,32.3,32.8 
