"Région";"Type de production";"Puissance cumulée (MW)";"Nombre d'installations";"Longitude";"Latitude"
"Aquitaine";"Hydraulique";"90.266";145;"44.3550340362";" -0.228135418562"
"Aquitaine";"Photovoltaïque";"844.88869";27294;"44.3550340362";" -0.228135418562"
"Basse-Normandie";"Eolien";"268.06156";63;"48.9300235095";" -0.524006659992"
"Basse-Normandie";"Photovoltaïque";"59.85401";6775;"48.9300235095";" -0.524006659992"
"Centre";"Eolien";"631.538";71;"47.484763746";" 1.68434854978"
"Franche-Comté";"Hydraulique";"63.6835";142;"47.2079121633";" 6.08798382416"
"Franche-Comté";"Photovoltaïque";"41.88893";8059;"47.2079121633";" 6.08798382416"
"Haute-Normandie";"Hydraulique";"18.666";22;"49.3919333893";" 1.01212319716"
"Languedoc-Roussillon";"Hydraulique";"94.376";122;"43.593488643";" 3.22556138048"
"Lorraine";"Hydraulique";"73.234";157;"48.7624077662";" 6.14174187254"
"Midi-Pyrénées";"Hydraulique";"328.252";444;"43.7686346794";" 1.48750616415"
"Nord-Pas-de-Calais";"Hydraulique";"0.434";5;"50.4730264056";" 2.71458378369"
"Pays de la Loire";"Hydraulique";"9.543";38;"47.4773980378";" -0.816398587614"
"Pays de la Loire";"Photovoltaïque";"375.33834";39442;"47.4773980378";" -0.816398587614"
"Picardie";"Eolien";"1395.16215";145;"49.6427413884";" 2.80772147695"
"Poitou-Charentes";"Autres";"38.9225";16;"46.1628247648";" -0.0816578770159"
"Poitou-Charentes";"Hydraulique";"8.943";25;"46.1628247648";" -0.0816578770159"
"Poitou-Charentes";"Photovoltaïque";"160.52974";10361;"46.1628247648";" -0.0816578770159"
"Rhône-Alpes";"Autres";"210.443";64;"45.4315419252";" 5.33447326661"
"Alsace";"Hydraulique";"6.448";32;"48.3302121319";" 7.43522723147"
"Auvergne";"Hydraulique";"89.099";124;"45.6561598984";" 3.1770179214"
"Basse-Normandie";"Bio énergie";"13.419";29;"48.9300235095";" -0.524006659992"
"Basse-Normandie";"Hydraulique";"11.5185";19;"48.9300235095";" -0.524006659992"
"Bretagne";"Bio énergie";"52.613";49;"48.1774943505";" -2.84240902913"
"Bretagne";"Photovoltaïque";"175.01065";18426;"48.1774943505";" -2.84240902913"
"Champagne-Ardenne";"Autres";"109.128";23;"48.7364132667";" 4.5412839417"
"Champagne-Ardenne";"Photovoltaïque";"91.04099";5754;"48.7364132667";" 4.5412839417"
"Languedoc-Roussillon";"Eolien";"473.9441";87;"43.593488643";" 3.22556138048"
"Lorraine";"Eolien";"727.4213";81;"48.7624077662";" 6.14174187254"
"Midi-Pyrénées";"Autres";"114.074";20;"43.7686346794";" 1.48750616415"
"Midi-Pyrénées";"Eolien";"271.382";42;"43.7686346794";" 1.48750616415"
"Nord-Pas-de-Calais";"Photovoltaïque";"85.79634";12500;"50.4730264056";" 2.71458378369"
"Pays de la Loire";"Autres";"177.055";56;"47.4773980378";" -0.816398587614"
"Picardie";"Hydraulique";"3.345";13;"49.6427413884";" 2.80772147695"
"Provence-Alpes-Côte d'Azur";"Eolien";"29.7654";16;"43.9562030158";" 6.05623185692"
"Provence-Alpes-Côte d'Azur";"Photovoltaïque";"769.55912";32475;"43.9562030158";" 6.05623185692"
"Rhône-Alpes";"Photovoltaïque";"343.01203";43875;"45.4315419252";" 5.33447326661"
"Alsace";"Photovoltaïque";"65.74078";4916;"48.3302121319";" 7.43522723147"
"Aquitaine";"Autres";"125.979";33;"44.3550340362";" -0.228135418562"
"Aquitaine";"Bio énergie";"61.165";24;"44.3550340362";" -0.228135418562"
"Bourgogne";"Bio énergie";"18.936";18;"47.2478036264";" 4.1493301541"
"Bretagne";"Autres";"203.1275";53;"48.1774943505";" -2.84240902913"
"Bretagne";"Hydraulique";"8.5275";32;"48.1774943505";" -2.84240902913"
